Name,brand,rating,no_rating,key_benefit
Dr Willmar Schwabe India Terminalia Chebula Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
SBL Silicea 0/24 LM,SBL Pvt Ltd,4.6,12 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Blumea Odorata Dilution(30ml Each) 200,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '']"
Bjain Kalium Iodatum Dilution 10M CH,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '']"
LDD Bioscience Guaiacum Mother Tincture Q,LDD Bioscience Pvt Ltd,,,[]
Bjain Blatta Orientalis Dilution 30C,Bjain Pharmaceuticals Pvt. Ltd.,4.3,19 Ratings,"['', '', '', '', '', '', '', '']"
Wheezal Calcarea Carbonica Globules 0/1 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Acetanilidum Dilution (30ml Each) 30 CH,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Collinsonia Canadensis Dilution 1M,Wheezal Homoeo Pharma,,,[]
Wheezal Saponaria Officinalis Dilution CM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '']"
Bjain Collinsonia Canadensis Globules 0/11 LM,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '']"
SBL Agave Americana Dilution 3 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
ADEL Euphrasia Dilution CM,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Abroma Augusta Dilution (30ml Each) 30,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Cheiranthus Cheiri Dilution 50M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '']"
Dr Willmar Schwabe Germany Carduus Marianus Pentarkan Ptk 23 Drop,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Juglans Regia Mother Tincture Q,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '']"
SBL Kali Bromatum Dilution 6 CH,SBL Pvt Ltd,4.5,158 Ratings,"['', '', '', '', '', '']"
SBL Badiaga Dilution 3 CH,SBL Pvt Ltd,4.9,16 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Saponaria Officinalis Dilution 10M CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Desmodium Gangeticum Dilution 1M,Wheezal Homoeo Pharma,,,[]
SBL Conium Maculatum Dilution 50M CH,SBL Pvt Ltd,4.4,380 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Aurum Muriaticum Dilution 30C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
