Name,Size,Price,Link,MRP
Dr Willmar Schwabe India Terminalia Chebula Dilution 200 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-terminalia-chebula-dilution-200-ch-otc406353,
SBL Silicea 0/24 LM,bottle of 20 gm Globules,,https://www.1mg.com/otc/sbl-silicea-0-24-lm-otc363620,
Dr. Majumder Homeo World Blumea Odorata Dilution(30ml Each) 200,box of 1 Bottle,230,https://www.1mg.com/otc/dr.-majumder-homeo-world-blumea-odorata-dilution-30ml-each-200-otc852975,MRP₹27015% OFF
Bjain Kalium Iodatum Dilution 10M CH,bottle of 30 ml Dilution,270,https://www.1mg.com/otc/bjain-kalium-iodatum-dilution-10m-ch-otc441412,MRP₹30010% OFF
LDD Bioscience Guaiacum Mother Tincture Q,bottle of 100 ml Mother Tincture,945,https://www.1mg.com/otc/ldd-bioscience-guaiacum-mother-tincture-q-otc779219,MRP₹105010% OFF
Bjain Blatta Orientalis Dilution 30C,bottle of 100 ml Dilution,,https://www.1mg.com/otc/bjain-blatta-orientalis-dilution-30c-otc435633,
Wheezal Calcarea Carbonica Globules 0/1 LM,bottle of 20 gm Globules,167,https://www.1mg.com/otc/wheezal-calcarea-carbonica-globules-0-1-lm-otc886421,MRP₹1807% OFF
Dr. Majumder Homeo World Acetanilidum Dilution (30ml Each) 30 CH,combo pack of 2 bottles,432,https://www.1mg.com/otc/dr.-majumder-homeo-world-acetanilidum-dilution-30ml-each-30-ch-otc851428,MRP₹52017% OFF
Wheezal Collinsonia Canadensis Dilution 1M,bottle of 30 ml Dilution,120,https://www.1mg.com/otc/wheezal-collinsonia-canadensis-dilution-1m-otc932084,MRP₹13511% OFF
Wheezal Saponaria Officinalis Dilution CM,bottle of 30 ml Dilution,298,https://www.1mg.com/otc/wheezal-saponaria-officinalis-dilution-cm-otc925174,MRP₹33511% OFF
Bjain Collinsonia Canadensis Globules 0/11 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-collinsonia-canadensis-globules-0-11-lm-otc833076,MRP₹8510% OFF
SBL Agave Americana Dilution 3 CH,bottle of 30 ml Dilution,93,https://www.1mg.com/otc/sbl-agave-americana-dilution-3-ch-otc350908,MRP₹1007% OFF
ADEL Euphrasia Dilution CM,bottle of 10 ml Dilution,278,https://www.1mg.com/otc/adel-euphrasia-dilution-cm-otc763731,MRP₹2904% OFF
Dr. Majumder Homeo World Abroma Augusta Dilution (30ml Each) 30,box of 1 Bottle,221,https://www.1mg.com/otc/dr.-majumder-homeo-world-abroma-augusta-dilution-30ml-each-30-otc850283,MRP₹26015% OFF
Bakson's Homeopathy Cheiranthus Cheiri Dilution 50M,bottle of 30 ml Dilution,322,https://www.1mg.com/otc/bakson-s-homeopathy-cheiranthus-cheiri-dilution-50m-otc757119,MRP₹3508% OFF
Dr Willmar Schwabe Germany Carduus Marianus Pentarkan Ptk 23 Drop,bottle of 20 ml Drop,288,https://www.1mg.com/otc/dr-willmar-schwabe-germany-carduus-marianus-pentarkan-ptk-23-drop-otc672809,MRP₹2952% OFF
Bjain Juglans Regia Mother Tincture Q,bottle of 100 ml Mother Tincture,176,https://www.1mg.com/otc/bjain-juglans-regia-mother-tincture-q-otc445210,MRP₹19510% OFF
SBL Kali Bromatum Dilution 6 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-kali-bromatum-dilution-6-ch-otc353886,
SBL Badiaga Dilution 3 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/sbl-badiaga-dilution-3-ch-otc351274,
LDD Bioscience Saponaria Officinalis Dilution 10M CH,bottle of 100 ml Dilution,,https://www.1mg.com/otc/ldd-bioscience-saponaria-officinalis-dilution-10m-ch-otc875049,
Wheezal Desmodium Gangeticum Dilution 1M,bottle of 30 ml Dilution,120,https://www.1mg.com/otc/wheezal-desmodium-gangeticum-dilution-1m-otc915635,MRP₹13511% OFF
SBL Conium Maculatum Dilution 50M CH,bottle of 10 ml Dilution,,https://www.1mg.com/otc/sbl-conium-maculatum-dilution-50m-ch-otc385208,
